product_code,category,business_line_code,business_line,sector,structure_code,factory,brand,start_production_date,end_production_date
PRD_13871,CAT_08,BLC_02,BL_05,SECTOR_04,STR_12,FACTORY_01,BRAND_02,2015-10-26,2018-09-27
PRD_14285,CAT_09,BLC_02,BL_03,SECTOR_03,STR_13,FACTORY_01,BRAND_02,2015-11-13,2019-03-27
PRD_13439,CAT_10,BLC_03,BL_06,SECTOR_04,STR_07,FACTORY_01,BRAND_02,2016-06-06,2019-01-31
PRD_14287,CAT_09,BLC_02,BL_03,SECTOR_03,STR_13,FACTORY_01,BRAND_02,2016-09-15,2019-03-27
PRD_13031,CAT_03,BLC_02,BL_02,SECTOR_02,STR_03,FACTORY_01,BRAND_02,2016-11-25,2017-12-14
PRD_14219,CAT_11,BLC_02,BL_05,SECTOR_04,STR_06,FACTORY_01,BRAND_02,2016-12-01,2018-06-27
PRD_13321,CAT_06,BLC_02,BL_03,SECTOR_03,STR_14,FACTORY_01,BRAND_02,2016-12-23,2019-05-02
PRD_14049,CAT_05,BLC_02,BL_03,SECTOR_03,STR_08,FACTORY_01,BRAND_02,2017-03-17,2018-08-28
PRD_13041,CAT_03,BLC_02,BL_02,SECTOR_02,STR_13,FACTORY_01,BRAND_02,2017-12-22,2018-10-12
PRD_14076,CAT_05,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_01,BRAND_02,2018-08-20,2022-11-24
PRD_9632,CAT_05,BLC_02,BL_03,SECTOR_03,STR_07,FACTORY_01,BRAND_02,2018-09-03,2022-11-24
PRD_14066,CAT_05,BLC_02,BL_03,SECTOR_03,STR_08,FACTORY_01,BRAND_02,2018-09-03,2022-11-24
PRD_14074,CAT_05,BLC_02,BL_03,SECTOR_03,STR_07,FACTORY_01,BRAND_02,2018-09-03,2022-11-24
PRD_13967,CAT_08,BLC_02,BL_05,SECTOR_04,STR_15,FACTORY_01,BRAND_02,2021-04-28,2023-05-30
PRD_14234,CAT_11,BLC_02,BL_05,SECTOR_04,STR_16,FACTORY_01,BRAND_02,2021-04-28,2023-12-22
PRD_14114,CAT_05,BLC_02,BL_03,SECTOR_03,STR_07,FACTORY_01,BRAND_02,2022-03-28,2023-02-06
PRD_14116,CAT_05,BLC_02,BL_03,SECTOR_03,STR_08,FACTORY_01,BRAND_02,2022-04-25,2023-02-06
PRD_9900,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,1980-01-01,2007-05-25
PRD_9568,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,1998-11-30,2003-05-29
PRD_9567,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,1998-11-30,2003-05-29
PRD_9565,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,1998-12-15,2003-10-27
PRD_9566,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,1998-12-15,2003-10-27
PRD_9572,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,1999-05-24,2007-05-25
PRD_9571,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,1999-05-24,2007-05-25
PRD_9573,CAT_04,BLC_02,BL_03,SECTOR_03,STR_03,FACTORY_06,BRAND_03,2000-07-01,2004-01-14
PRD_9569,CAT_04,BLC_02,BL_03,SECTOR_03,STR_03,FACTORY_06,BRAND_03,2001-08-27,2004-05-31
PRD_8978,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,2002-09-09,2005-08-31
PRD_8979,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,2002-10-01,2005-08-31
PRD_8592,CAT_04,BLC_02,BL_03,SECTOR_03,STR_03,FACTORY_06,BRAND_03,2003-05-05,2004-01-14
PRD_8980,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,2003-07-15,2005-08-31
PRD_8981,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,2003-10-06,2006-01-27
PRD_8598,CAT_04,BLC_02,BL_03,SECTOR_03,STR_03,FACTORY_06,BRAND_03,2004-10-01,2008-03-07
PRD_8597,CAT_04,BLC_02,BL_03,SECTOR_03,STR_13,FACTORY_06,BRAND_03,2005-02-15,2008-03-27
PRD_8596,CAT_04,BLC_02,BL_03,SECTOR_03,STR_13,FACTORY_06,BRAND_03,2005-03-01,2008-03-27
PRD_8595,CAT_04,BLC_02,BL_03,SECTOR_03,STR_03,FACTORY_06,BRAND_03,2005-06-20,2008-03-07
PRD_9000,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,2005-06-20,2006-01-27
PRD_8997,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,2005-06-20,2006-01-27
PRD_8999,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,2005-06-20,2006-01-27
PRD_8998,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_06,BRAND_03,2005-07-01,2006-01-27
PRD_8602,CAT_04,BLC_02,BL_03,SECTOR_03,STR_03,FACTORY_06,BRAND_03,2007-07-11,2008-10-14
PRD_6909,CAT_12,BLC_03,BL_07,SECTOR_02,STR_17,FACTORY_02,BRAND_03,2009-05-29,2011-09-14
PRD_10969,CAT_12,BLC_03,BL_07,SECTOR_02,STR_18,FACTORY_02,BRAND_03,2010-04-20,2016-10-13
PRD_9959,CAT_02,BLC_02,BL_02,SECTOR_02,STR_19,FACTORY_02,BRAND_03,2013-10-07,2016-12-14
PRD_8387,CAT_02,BLC_02,BL_02,SECTOR_02,STR_19,FACTORY_02,BRAND_03,2013-11-19,2016-12-14
PRD_8388,CAT_02,BLC_02,BL_02,SECTOR_02,STR_19,FACTORY_02,BRAND_03,2014-02-04,2016-12-14
PRD_8389,CAT_02,BLC_02,BL_02,SECTOR_02,STR_02,FACTORY_02,BRAND_03,2014-04-08,2016-12-24
PRD_7823,CAT_12,BLC_03,BL_07,SECTOR_02,STR_20,FACTORY_02,BRAND_03,2014-06-19,2016-01-08
PRD_10973,CAT_12,BLC_03,BL_07,SECTOR_02,STR_21,FACTORY_02,BRAND_03,2014-07-25,2016-01-28
PRD_7825,CAT_12,BLC_03,BL_07,SECTOR_02,STR_19,FACTORY_02,BRAND_03,2014-06-23,2016-12-14
PRD_7824,CAT_12,BLC_03,BL_07,SECTOR_02,STR_19,FACTORY_02,BRAND_03,2014-09-30,2016-12-14
PRD_10369,CAT_12,BLC_03,BL_07,SECTOR_02,STR_22,FACTORY_02,BRAND_03,2015-10-21,2016-07-01
PRD_7829,CAT_12,BLC_03,BL_07,SECTOR_02,STR_23,FACTORY_02,BRAND_03,2015-09-22,2016-02-29
PRD_10974,CAT_12,BLC_03,BL_07,SECTOR_02,STR_24,FACTORY_02,BRAND_03,2015-09-24,2016-06-09
PRD_8390,CAT_02,BLC_02,BL_02,SECTOR_02,STR_19,FACTORY_02,BRAND_03,2015-09-30,2016-12-14
PRD_7827,CAT_12,BLC_03,BL_07,SECTOR_02,STR_19,FACTORY_02,BRAND_03,2015-12-14,2016-12-14
PRD_10100,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2016-02-03,2016-12-14
PRD_6912,CAT_12,BLC_03,BL_07,SECTOR_02,STR_19,FACTORY_02,BRAND_03,2016-02-09,2017-10-16
PRD_4827,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2016-05-05,2018-05-29
PRD_4832,CAT_12,BLC_03,BL_07,SECTOR_02,STR_05,FACTORY_02,BRAND_03,2016-05-09,2018-09-06
PRD_10542,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2016-05-23,2018-03-21
PRD_10370,CAT_12,BLC_03,BL_07,SECTOR_02,STR_05,FACTORY_02,BRAND_03,2016-05-31,2018-03-21
PRD_11846,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2016-05-16,2018-04-13
PRD_7830,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2016-11-23,2018-01-15
PRD_10588,CAT_12,BLC_03,BL_07,SECTOR_02,STR_05,FACTORY_02,BRAND_03,2016-06-27,2018-03-22
PRD_10104,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2016-07-18,2018-03-21
PRD_10105,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2016-07-19,2018-03-12
PRD_7850,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2016-11-08,2020-09-24
PRD_10372,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2016-11-21,2018-02-27
PRD_4838,CAT_12,BLC_03,BL_07,SECTOR_02,STR_05,FACTORY_02,BRAND_03,2016-12-22,2018-06-18
PRD_7861,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2017-05-10,2020-08-07
PRD_4860,CAT_12,BLC_03,BL_07,SECTOR_02,STR_05,FACTORY_02,BRAND_03,2017-11-08,2018-04-16
PRD_4846,CAT_12,BLC_03,BL_07,SECTOR_02,STR_05,FACTORY_02,BRAND_03,2017-07-26,2018-07-04
PRD_7877,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2017-08-02,2020-08-07
PRD_7878,CAT_12,BLC_03,BL_07,SECTOR_02,STR_05,FACTORY_02,BRAND_03,2017-08-29,2020-08-07
PRD_1722,CAT_12,BLC_03,BL_07,SECTOR_02,STR_26,FACTORY_02,BRAND_03,2017-08-01,
PRD_1720,CAT_12,BLC_03,BL_07,SECTOR_02,STR_26,FACTORY_02,BRAND_03,2017-08-01,
PRD_1721,CAT_12,BLC_03,BL_07,SECTOR_02,STR_26,FACTORY_02,BRAND_03,2017-08-02,
PRD_2442,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2017-10-24,2018-12-03
PRD_7884,CAT_12,BLC_03,BL_07,SECTOR_02,STR_05,FACTORY_02,BRAND_03,2017-09-21,2018-04-16
PRD_7871,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2017-11-08,2020-07-31
PRD_7894,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2018-03-20,2020-09-24
PRD_10117,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2018-03-12,2019-03-11
PRD_4882,CAT_12,BLC_03,BL_07,SECTOR_02,STR_05,FACTORY_02,BRAND_03,2018-05-15,2020-08-05
PRD_6970,CAT_12,BLC_03,BL_07,SECTOR_02,STR_05,FACTORY_02,BRAND_03,2018-06-26,2019-03-27
PRD_4881,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2018-07-09,2020-11-02
PRD_7913,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2018-03-26,2019-07-30
PRD_6718,CAT_12,BLC_03,BL_07,SECTOR_02,STR_05,FACTORY_02,BRAND_03,2018-05-14,2019-07-30
PRD_10119,CAT_12,BLC_03,BL_07,SECTOR_02,STR_05,FACTORY_02,BRAND_03,2018-04-23,2020-07-31
PRD_11960,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2018-06-11,2020-07-31
PRD_14466,CAT_12,BLC_03,BL_07,SECTOR_02,STR_05,FACTORY_02,BRAND_03,2018-07-24,2019-09-10
PRD_7930,CAT_12,BLC_03,BL_07,SECTOR_02,STR_25,FACTORY_02,BRAND_03,2018-10-01,2020-10-01
PRD_3615,CAT_12,BLC_03,BL_07,SECTOR_02,STR_26,FACTORY_02,BRAND_03,2020-05-06,2024-01-08
PRD_8468,CAT_03,BLC_02,BL_02,SECTOR_02,STR_03,FACTORY_07,BRAND_03,2002-02-15,2004-08-30
PRD_8470,CAT_03,BLC_02,BL_02,SECTOR_02,STR_03,FACTORY_07,BRAND_03,2002-03-29,2003-04-23
PRD_8471,CAT_03,BLC_02,BL_02,SECTOR_02,STR_03,FACTORY_07,BRAND_03,2006-09-15,2009-05-13
PRD_13043,CAT_03,BLC_02,BL_02,SECTOR_02,STR_03,FACTORY_03,BRAND_03,,2019-03-26
PRD_8525,CAT_03,BLC_02,BL_02,SECTOR_02,STR_03,FACTORY_03,BRAND_03,2018-07-10,2020-04-07
PRD_1998,CAT_03,BLC_02,BL_02,SECTOR_02,STR_03,FACTORY_03,BRAND_03,2018-10-10,2019-09-16
PRD_1362,CAT_03,BLC_02,BL_02,SECTOR_02,STR_03,FACTORY_03,BRAND_03,2018-10-26,2019-12-09
PRD_8454,CAT_13,BLC_03,BL_07,SECTOR_02,STR_03,FACTORY_03,BRAND_03,2018-11-16,2019-08-22
PRD_8453,CAT_13,BLC_03,BL_07,SECTOR_02,STR_03,FACTORY_03,BRAND_03,2018-10-24,2020-10-05
PRD_11664,CAT_13,BLC_03,BL_07,SECTOR_02,STR_03,FACTORY_03,BRAND_03,2019-09-25,2023-08-30
PRD_12960,CAT_13,BLC_03,BL_07,SECTOR_02,STR_03,FACTORY_03,BRAND_03,,2020-10-05
PRD_3951,CAT_13,BLC_03,BL_07,SECTOR_02,STR_03,FACTORY_03,BRAND_03,2020-04-19,2023-03-15
PRD_5467,CAT_03,BLC_02,BL_02,SECTOR_03,STR_03,FACTORY_03,BRAND_03,2022-04-01,2023-01-16
PRD_10425,CAT_03,BLC_02,BL_02,SECTOR_03,STR_03,FACTORY_03,BRAND_03,2020-12-21,2021-12-23
PRD_5409,CAT_13,BLC_03,BL_07,SECTOR_02,STR_03,FACTORY_03,BRAND_03,2022-02-01,2022-02-04
PRD_6697,CAT_12,BLC_03,BL_07,SECTOR_02,STR_23,FACTORY_08,BRAND_03,2015-03-16,2016-11-30
PRD_10975,CAT_12,BLC_03,BL_07,SECTOR_02,STR_23,FACTORY_08,BRAND_03,2016-06-27,2020-09-10
PRD_4834,CAT_12,BLC_03,BL_07,SECTOR_02,STR_01,FACTORY_08,BRAND_03,2016-07-06,2020-09-17
PRD_10587,CAT_12,BLC_03,BL_07,SECTOR_02,STR_23,FACTORY_08,BRAND_03,2016-06-17,2020-09-04
PRD_10098,CAT_12,BLC_03,BL_07,SECTOR_02,STR_23,FACTORY_08,BRAND_03,2016-06-17,2018-02-28
PRD_7841,CAT_12,BLC_03,BL_07,SECTOR_02,STR_23,FACTORY_08,BRAND_03,2016-06-23,2017-05-23
PRD_7840,CAT_12,BLC_03,BL_07,SECTOR_02,STR_23,FACTORY_08,BRAND_03,2016-09-24,2018-02-28
PRD_10977,CAT_12,BLC_03,BL_07,SECTOR_02,STR_23,FACTORY_08,BRAND_03,2016-10-20,2018-02-28
PRD_10107,CAT_12,BLC_03,BL_07,SECTOR_02,STR_27,FACTORY_08,BRAND_03,2016-10-26,2018-12-10
PRD_10109,CAT_12,BLC_03,BL_07,SECTOR_02,STR_27,FACTORY_08,BRAND_03,2017-01-11,2018-11-09
PRD_11864,CAT_12,BLC_03,BL_07,SECTOR_02,STR_23,FACTORY_08,BRAND_03,2017-04-05,2018-06-08
PRD_4853,CAT_12,BLC_03,BL_07,SECTOR_02,STR_28,FACTORY_08,BRAND_03,2018-03-14,2019-11-29
PRD_7868,CAT_12,BLC_03,BL_07,SECTOR_02,STR_21,FACTORY_08,BRAND_03,2017-04-18,2020-09-04
PRD_7869,CAT_12,BLC_03,BL_07,SECTOR_02,STR_21,FACTORY_08,BRAND_03,2017-06-15,2020-09-16
PRD_7879,CAT_12,BLC_03,BL_07,SECTOR_02,STR_28,FACTORY_08,BRAND_03,2017-10-09,2020-09-28
PRD_10116,CAT_12,BLC_03,BL_07,SECTOR_02,STR_29,FACTORY_08,BRAND_03,2018-03-20,2020-10-05
PRD_10121,CAT_12,BLC_03,BL_07,SECTOR_02,STR_21,FACTORY_08,BRAND_03,2018-10-11,2020-10-05
PRD_10132,CAT_12,BLC_03,BL_07,SECTOR_02,STR_28,FACTORY_08,BRAND_03,2019-12-23,2020-09-10
PRD_9027,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2007-11-19,2011-03-25
PRD_9039,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2008-09-01,2010-09-04
PRD_9038,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2008-09-01,2017-07-20
PRD_9042,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2008-11-12,2011-07-02
PRD_9045,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2008-11-26,2011-07-02
PRD_9043,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2008-11-26,2011-07-02
PRD_9048,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2008-12-15,2011-07-02
PRD_9046,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2008-12-30,2017-07-20
PRD_7797,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2010-11-01,2019-05-21
PRD_9065,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2011-01-17,2013-07-12
PRD_9063,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2011-01-21,2014-12-23
PRD_7364,CAT_06,BLC_02,BL_03,SECTOR_03,STR_30,FACTORY_09,BRAND_03,2011-07-11,2018-04-06
PRD_9085,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2013-07-12,2017-08-30
PRD_9994,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2013-07-12,2018-10-24
PRD_9100,CAT_06,BLC_02,BL_03,SECTOR_03,STR_30,FACTORY_09,BRAND_03,2013-11-27,2018-03-14
PRD_9095,CAT_06,BLC_02,BL_03,SECTOR_03,STR_08,FACTORY_09,BRAND_03,2014-07-03,2017-08-30
PRD_9109,CAT_06,BLC_02,BL_03,SECTOR_03,STR_08,FACTORY_09,BRAND_03,2014-07-17,2017-08-30
PRD_9114,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2015-04-18,2019-01-30
PRD_13319,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2016-03-14,2019-04-10
PRD_1418,CAT_06,BLC_02,BL_03,SECTOR_03,STR_30,FACTORY_09,BRAND_03,2016-03-02,2018-03-14
PRD_9119,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2016-10-05,2019-04-10
PRD_9136,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2016-11-14,2017-07-20
PRD_9135,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2016-11-14,2017-07-20
PRD_9140,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2017-06-02,2019-08-05
PRD_9149,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2017-05-26,2018-10-24
PRD_4345,CAT_06,BLC_02,BL_03,SECTOR_03,STR_08,FACTORY_09,BRAND_03,,2022-10-03
PRD_4368,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2021-05-19,2023-10-16
PRD_4406,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2023-04-28,
PRD_4407,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2023-05-04,
PRD_4253,CAT_04,BLC_02,BL_03,SECTOR_03,STR_26,FACTORY_09,BRAND_03,2025-04-29,
PRD_4254,CAT_04,BLC_02,BL_03,SECTOR_03,STR_26,FACTORY_09,BRAND_03,2025-04-29,
PRD_10008,CAT_06,BLC_02,BL_03,SECTOR_03,STR_08,FACTORY_09,BRAND_03,2025-05-28,
PRD_10007,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_09,BRAND_03,2025-06-01,
PRD_8975,CAT_04,BLC_02,BL_03,SECTOR_03,STR_30,FACTORY_09,BRAND_03,2025-07-10,
PRD_8976,CAT_04,BLC_02,BL_03,SECTOR_03,STR_30,FACTORY_09,BRAND_03,2025-08-17,
PRD_4256,CAT_04,BLC_02,BL_03,SECTOR_03,STR_30,FACTORY_09,BRAND_03,2025-09-18,
PRD_6850,CAT_10,BLC_03,BL_06,SECTOR_04,STR_31,FACTORY_10,BRAND_03,2003-04-22,2006-01-31
PRD_9430,CAT_08,BLC_02,BL_05,SECTOR_04,STR_32,FACTORY_10,BRAND_03,2006-12-14,2011-04-15
PRD_9431,CAT_08,BLC_02,BL_05,SECTOR_04,STR_32,FACTORY_10,BRAND_03,2006-12-21,2015-07-12
PRD_6032,CAT_10,BLC_03,BL_06,SECTOR_04,STR_33,FACTORY_10,BRAND_03,2010-05-03,2012-06-07
PRD_10476,CAT_10,BLC_03,BL_06,SECTOR_04,STR_33,FACTORY_10,BRAND_03,2012-04-10,2015-07-13
PRD_6852,CAT_10,BLC_03,BL_06,SECTOR_04,STR_15,FACTORY_10,BRAND_03,2012-04-12,2014-04-17
PRD_6853,CAT_10,BLC_03,BL_06,SECTOR_04,STR_33,FACTORY_10,BRAND_03,2013-07-23,2015-07-13
PRD_9428,CAT_08,BLC_02,BL_05,SECTOR_04,STR_12,FACTORY_10,BRAND_03,2014-09-05,2015-01-27
PRD_5560,CAT_04,BLC_02,BL_03,SECTOR_03,STR_34,FACTORY_11,BRAND_03,,2017-12-22
PRD_9546,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_11,BRAND_03,1996-04-30,1997-10-30
PRD_9823,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_11,BRAND_03,1998-06-29,2002-08-31
PRD_9826,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_11,BRAND_03,2001-04-06,2003-07-04
PRD_9830,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_11,BRAND_03,2001-09-17,2003-07-04
PRD_9833,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_11,BRAND_03,2001-09-17,2003-06-04
PRD_9832,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_11,BRAND_03,2001-09-17,2003-06-04
PRD_9834,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_11,BRAND_03,2001-09-17,2009-07-13
PRD_9829,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_11,BRAND_03,2001-09-17,2010-01-15
PRD_9828,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_11,BRAND_03,2001-09-17,2011-05-18
PRD_9831,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_11,BRAND_03,2001-09-17,2003-12-02
PRD_9835,CAT_06,BLC_02,BL_03,SECTOR_03,STR_30,FACTORY_11,BRAND_03,2002-07-01,2005-10-04
PRD_9836,CAT_06,BLC_02,BL_03,SECTOR_03,STR_30,FACTORY_11,BRAND_03,2002-07-01,2005-10-04
PRD_8984,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_11,BRAND_03,2005-06-27,2011-07-08
